,name,empty_slots,free_bikes,slots,latitude,longitude
120,CHSLD Robert Cliche (de Bellechasse / 16e avenue),12,0,15,45.557568,-73.579191
121,Parc Ottawa (de Belleville / Fleury),10,3,15,45.58116,-73.6412434
122,Parc Nicolas-Tillemont (des Érables / Villeray),1,14,18,45.55463653358596,-73.61255215771962
123,Métro Viau (Viau / Pierre-de-Coubertin),27,25,55,45.563084167155345,-73.5481941328544
124,Parc Armand-Bombardier (Perras / Armand-Bombardier),6,8,15,45.6391233,-73.5961118
125,Collège de Rosemont (Beaubien / 15e avenue),23,0,26,45.55774990838239,-73.58380123972893
126,McTavish / Sherbrooke,45,0,46,45.50277615861811,-73.57589408755302
127,de Bleury / de Maisonneuve,10,11,21,45.507096455662456,-73.56844156980515
128,de Maisonneuve / Aylmer (ouest),25,11,37,45.505173440423306,-73.5706517100334
129,Préfontaine / Marcel-Pépin,12,5,19,45.54365380040509,-73.55942063033581
130,Métro Atwater (Atwater / Ste-Catherine),4,28,35,45.48952522221574,-73.5844581949641
131,Hochelaga / de l'Assomption,23,0,23,45.566883091095185,-73.53943817317486
132,Bassin olympique (Chemin du Chenal le Moyne),12,7,19,45.5169025120042,-73.52724552154541
133,Parc Wilfrid-Bastien (Lacordaire / des Galets),14,0,19,45.5864002,-73.5952181
134,de Chambly / de Rouen,5,5,11,45.54710313981358,-73.54892447590828
135,BAnQ (Berri),4,10,15,45.51601387670667,-73.56291957199574
136,Parc Ernest-Rouleau (Gouin),1,14,19,45.63131269772338,-73.61631497740746
137,Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré),22,0,26,45.49624140543275,-73.62983867526054
138,CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),34,0,37,45.50398168549117,-73.62283945083618
139,Parc Honoré-Mercier (Notre-Dame / Liébert),15,10,27,45.59275253568305,-73.51035632193089
140,Keller / Cousineau,13,1,15,45.52355020292929,-73.7138856947422
141,Parc d'Antioche (Place d'Antioche / St-Zotique),4,13,19,45.59566584124368,-73.5596626996994
142,Gare Lachine (Sir George Simpson / 48e avenue),15,0,15,45.447821314280105,-73.71091783046722
143,de Gaspé / Marmier,14,4,21,45.529668174024685,-73.60166944563389
144,Grenet / Poirier,7,4,15,45.51871924623225,-73.69875401258469
145,IUSMM (Georges-Villeneuve),13,9,27,45.58661042838809,-73.52969169616699
146,Square Nelligan (des Appalaches / Alexis-Nihon),1,13,15,45.51431824920811,-73.70799824595451
147,Parc MacDonald (Clanranald / Isabella),1,12,15,45.48274245886277,-73.63497912883759
148,La Tour de Montréal (Pierre-de-Coubertin / Bennett),15,9,25,45.55970526805903,-73.55155438184738
149,St-Antoine / 19e avenue,10,5,15,45.43993803436114,-73.68146234754022
150,Messier / St-Joseph,10,5,17,45.53946063965585,-73.57605636119843
151,Square Viger (Berri / Viger),8,21,30,45.5121682576952,-73.55481594800949
152,Dorion / Ontario,18,15,35,45.526991277453526,-73.55821162462234
153,Larivière / de Lorimier,18,17,39,45.5291345371163,-73.55923354625702
154,Viger / Chenneville,20,14,34,45.50531166520915,-73.56089115142822
155,René-Lévesque / Papineau,25,0,27,45.52097057660443,-73.5499919950962
156,Logan / Fullum,16,3,19,45.52836601591233,-73.55117082595825
157,Joseph-Manseau / René-Lévesque,12,7,19,45.491686521008035,-73.57676714658737
158,Logan / d'Iberville,4,13,19,45.53061161207863,-73.54911457747221
159,du Havre / de Rouen,18,8,27,45.53456256501449,-73.55478646466509
160,Square Victoria (Viger / du Square-Victoria),8,11,19,45.50206,-73.56295
161,Métro Peel (de Maisonneuve / Stanley),36,11,49,45.50038,-73.57507
162,St-Antoine / St-François-Xavier,11,6,18,45.50459069556304,-73.55918794870377
163,Métro Place-d'Armes (Viger / St-Urbain),6,23,29,45.50631445605528,-73.55967122894072
164,Métro Laurier (Berri / Laurier),19,0,23,45.52809995527671,-73.58843871625139
165,St-Hubert / de Maisonneuve (nord),19,4,23,45.51613214980722,-73.56049686670303
166,de Rouen / Lespérance,16,5,23,45.538859462962286,-73.5528177022934
167,Calixa-Lavallée / Sherbrooke,12,4,19,45.52479,-73.56545
168,St-Hubert / Duluth,11,11,23,45.522425652788634,-73.57418417930603
169,de Bullion / du Mont-Royal,16,2,19,45.52141314643908,-73.58498811721802
170,de Lanaudière / Laurier,11,11,23,45.5333136054992,-73.58373686671257
171,Laval / Duluth,11,8,23,45.51922631024093,-73.57718793155072
172,Vallières / St-Laurent,4,17,23,45.518967223320054,-73.5836161673069
173,Duluth / de l'Esplanade,13,8,23,45.515132275425785,-73.58105599880219
174,Hogan / Ontario,4,6,11,45.535295480380306,-73.55116009712219
175,la Fontaine / Alexandre-de-Sève,17,1,19,45.52330366033427,-73.55799973011017
176,Ste-Catherine / Union,23,11,34,45.50373771539475,-73.56948494911194
177,Chabot / Mont-Royal,16,4,23,45.53413436610844,-73.57352435588837
178,Gauthier / Papineau,17,4,23,45.52966629503036,-73.56733649969101
179,Messier / du Mont-Royal,16,2,23,45.53711414,-73.5710031
180,Laval / du Mont-Royal,2,12,15,45.5223645775784,-73.58414590358734
181,Jeanne-Mance / Sherbrooke,3,20,25,45.50928678961862,-73.57101917266846
182,Métro Laurier (Berri / St-Joseph),9,9,18,45.52723106564012,-73.58672618865965
183,Pontiac / Gilford,11,12,23,45.527009334270645,-73.58576595783234
184,Christophe-Colomb / St-Joseph,17,3,23,45.53036486555959,-73.58439266681671
185,Cartier / St-Joseph,19,0,19,45.53582823686429,-73.57869029045105
186,Métro Frontenac (Ontario / du Havre),0,22,23,45.533705987798946,-73.55217933654784
187,Roy / St-Denis,18,5,26,45.51908,-73.5727
188,Maguire / Henri-Julien,12,7,19,45.527041096087785,-73.59347056655677
189,Laurier / de Brébeuf,12,17,31,45.532513956311426,-73.58481109142303
190,Laurier / de Bordeaux,19,2,23,45.53727946481992,-73.5791677236557
191,Henri-Julien / du Carmel,17,6,23,45.52795093787009,-73.59502326697111
192,Cartier / Masson,12,4,19,45.5380207402854,-73.58352363109587
193,Parc Ludger-Duvernay (St-André / St-Hubert),15,2,19,45.53147464147482,-73.59242051839828
194,Boucher / St-Denis,18,4,23,45.527930077456865,-73.59183847904205
195,Drolet / Marie-Anne,6,13,19,45.522402573414084,-73.58117669820786
196,St-André / Rachel,6,8,15,45.52435318759273,-73.57596650719643
197,Parc Jeanne-Mance (monument à sir George-Étienne Cartier),31,7,43,45.514866433022796,-73.58475860237377
198,Roy / St-André,18,4,23,45.521564270906616,-73.57036739587784
199,Garnier / St-Joseph,17,1,19,45.5330129192707,-73.58128666877745
200,de l'Esplanade / Fairmount,17,1,19,45.521495731487576,-73.5968267172575
201,Jeanne-Mance / St-Viateur,19,2,23,45.523026476635074,-73.60184043645859
202,du Parc-La Fontaine / Duluth,14,8,22,45.52451761488783,-73.57197672128677
203,Casgrain / St-Viateur,7,14,23,45.52751292628879,-73.59879076480864
204,St-Dominique / Laurier,4,17,23,45.52361490311454,-73.59245739877223
205,de Bullion / St-Joseph,10,13,23,45.52404631813311,-73.59015061847458
206,de Gaspé / Fairmount,9,12,23,45.52557815939422,-73.59285570681095
207,du Parc-La Fontaine / Roy,16,2,19,45.52286653749578,-73.56837719678879
208,de l'Hôtel-de-Ville / Villeneuve,8,12,23,45.52348082760688,-73.58732756238169
209,de Mentana / Gilford,23,0,23,45.52866947969606,-73.58371809124947
210,Henri-Julien / Laurier,22,1,23,45.52574657625029,-73.59033644199371
211,Marquette / Laurier,3,22,27,45.53543,-73.5822
212,Milton / du Parc,16,14,31,45.50936142835129,-73.57386365532875
213,Waverly / St-Viateur,13,6,19,45.5238561444472,-73.60012650489807
214,de Bordeaux / Gilford,12,6,19,45.53611005443118,-73.5762870311737
215,de Bordeaux / Masson,15,2,19,45.53898439552301,-73.5824453830719
216,Labadie / du Parc,13,2,19,45.5198946757576,-73.59682738780975
217,Fullum / Marie-Anne,21,2,23,45.53650541861215,-73.56803923845291
218,Parthenais / du Mont-Royal,13,1,15,45.53640396516409,-73.57141345739365
219,Clark / St-Viateur,9,6,15,45.5251943015533,-73.59935637563467
220,Duluth  / St-Denis,4,10,15,45.52062760607925,-73.57594907283782
221,Clark / Rachel,27,1,31,45.5173538,-73.58212888
222,Resther / du Mont-Royal,6,9,23,45.52562819123256,-73.58177483081818
223,de Mentana / Marie-Anne,11,16,27,45.526026565221414,-73.57785880565643
224,Hutchison / Prince-Arthur,1,29,31,45.50975858607626,-73.57610732316971
225,du Mont-Royal / Clark,24,5,35,45.51941,-73.58685
