station_no,name,empty_slots,free_bikes,slots,latitude,longitude,avg_rating,total_review_count,POI,avg_rating_fsq,total_ratings_count_fsq,POI_fsq
77,Parc de Dieppe,25,8,35,45.501863463435576,-73.5439610481262,4.5,131.0,5.0,,,
78,Terminus Newman (Airlie / Lafleur),7,11,19,45.425059666150744,-73.64959917962551,,,,,,
79,Parc Highlands (Highlands / LaSalle),6,21,27,45.42612352042827,-73.65741580724716,5.0,1.0,1.0,,0.0,1.0
80,Newman / Senkus,15,3,19,45.44404309237571,-73.61375212669373,4.5,11.0,1.0,8.8,34.0,2.0
81,St-Urbain / René-Lévesque,25,8,33,45.50783754150584,-73.56313616037369,4.125,175.0,12.0,8.8,34.0,2.0
82,de Maisonneuve / Aylmer (est),2,19,21,45.50538591756765,-73.5704317688942,4.0,32.0,9.0,,,
83,Smith / Peel,15,4,19,45.49276061084002,-73.55641052126883,4.166666666666667,135.0,6.0,,,
84,de la Commune / King,23,46,71,45.49750375338383,-73.55284452438353,4.375,138.0,8.0,,0.0,1.0
85,de la Commune / Place Jacques-Cartier,53,24,81,45.50761009451047,-73.55183601379395,4.25,176.0,12.0,,0.0,1.0
86,de la Commune / St-Sulpice,27,14,43,45.50424245563397,-73.553469479084,4.269230769230769,163.0,13.0,,,
87,Chabanel / du Parc,26,3,30,45.53830765459552,-73.6548838019371,,,,5.6,12.0,1.0
88,Ottawa / William,7,8,15,45.48972725318433,-73.56406286358833,4.125,7.0,4.0,8.8,34.0,1.0
89,de la Commune / Berri,33,16,51,45.51086,-73.54983,4.05,49.0,10.0,,,
90,Berlioz / de l'Île des Soeurs,18,3,23,45.45998577640931,-73.54395568370819,4.5,6.0,3.0,9.0,787.0,2.0
91,Parc Benny (Benny / de Monkland),13,7,23,45.46693565237702,-73.63153114914894,3.5,4.0,1.0,,0.0,1.0
92,Cégep André-Laurendeau (Lapierre),23,6,30,45.43605512104547,-73.60577523708344,4.166666666666667,18.0,3.0,,,
93,Métro Henri-Bourassa (Henri-Bourassa / Millen),6,9,16,45.55675103297278,-73.66716161370277,5.0,1.0,1.0,,0.0,1.0
94,Dixie / 54e avenue,4,14,19,45.44338026469991,-73.71789157390594,4.5,2.0,1.0,8.100000000000001,44.0,2.0
95,LaSalle / 90e avenue,7,5,15,45.41774583815495,-73.64518761634827,,,,,,
96,Métro de la Concorde (Léo-Lacombe),17,0,19,45.5604898518365,-73.7091851234436,,,,7.7,29.0,1.0
97,Calixa-Lavallée / Rachel,27,2,30,45.527831544563064,-73.5719096660614,4.125,61.0,4.0,8.8,46.0,1.0
98,Parc du Mail (Bois de Coulonges / du Mail),14,1,15,45.59833498124187,-73.54596734046936,,,,,,
99,Marché Jean-Talon (Casgrain / Shamrock),16,1,26,45.53519006163501,-73.61548215150833,4.1,31.0,5.0,,,
100,HEC (Decelles / Jean-Brillant),19,1,25,45.49772282989976,-73.61925333738327,3.9,116.0,5.0,,0.0,5.0
101,Fabrik8 (Waverly / Jean-Talon),15,2,18,45.53330725719417,-73.62082242965698,4.125,30.0,4.0,,0.0,1.0
102,Parc Courbertin (Valéry / Perrier),7,8,19,45.5839877335556,-73.60809333622456,,,,,,
103,Parc Hébert (Colbert / Provencher),7,6,15,45.57237805962001,-73.59370462596415,,,,,0.0,1.0
104,Parc Garibaldi (Liénart / Bélanger),5,9,15,45.586476480180046,-73.570396900177,,,,8.933333333333334,821.0,4.0
105,Parc Aimé-Léonard (Gouin / Ste-Gertrude),3,13,17,45.60835820969716,-73.63850623369217,,,,,,
106,Parc Charleroi (Alfred / Louis-Francoeur),6,9,15,45.59953472156509,-73.62360253930092,,,,7.9,12.0,1.0
107,Parc Maurice-Bélanger (Hébert / Denommée),12,2,15,45.5877138098252,-73.63171823322773,5.0,1.0,1.0,,,
108,Gare St-Michel / Montréal-Nord (Pie-IX / 56e),13,1,15,45.583197821913785,-73.62978704273701,,,,,,
109,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),4,6,15,45.51401222645779,-73.56598667800426,3.857142857142857,57.0,7.0,9.5,258.0,1.0
110,Parc Jeanne-Mance (du Mont-Royal / du Parc),15,16,33,45.51689731423111,-73.58910799026489,4.166666666666667,30.0,9.0,,0.0,1.0
111,Léa-Roback / Sir-Georges-Etienne-Cartier,27,3,34,45.472051276471305,-73.5827162861824,4.5,27.0,5.0,,,
112,Parc Eusèbe-Ménard (Gouin / St-Vital),7,7,18,45.59253950875074,-73.64874824881554,4.5,10.0,1.0,7.9,51.0,1.0
113,St-Hubert / de Maisonneuve (sud),2,11,19,45.51586835126322,-73.56008380651474,4.0,71.0,9.0,7.6,16.0,1.0
114,CHSLD Joseph-François-Perrault (St-Michel / Everett),17,1,18,45.55969734528566,-73.60145956277847,4.0,1.0,1.0,,,
115,Mairie d'arrondissement St-Laurent (Beaudet / Marcel-Laurin),14,12,27,45.50682415585665,-73.68184804916382,4.0,1.0,1.0,,,
116,Parc Plage,14,5,19,45.50265866521738,-73.52753520011902,,,,,0.0,1.0
117,Gare Montpellier (Muir / de la Côte-Vertu),3,11,15,45.52374047147138,-73.67169924080372,,,,,,
118,Gare du Ruisseau (Dutrisac / Henri-Bourassa),8,10,19,45.52814371649508,-73.69254536926746,,,,7.6,11.0,2.0
119,Bibliothèque du Vieux-St-Laurent (de l'Église / Filiatrault),4,12,18,45.512843286755896,-73.67612421512604,4.0,1.0,1.0,,,
120,CHSLD Robert Cliche (de Bellechasse / 16e avenue),12,0,15,45.557568,-73.579191,4.0,1.0,1.0,9.1,29.0,1.0
121,Parc Ottawa (de Belleville / Fleury),10,3,15,45.58116,-73.6412434,4.75,11.0,2.0,7.1,21.0,1.0
122,Parc Nicolas-Tillemont (des Érables / Villeray),1,14,18,45.55463653358596,-73.61255215771962,4.0,1.0,1.0,,,
123,Métro Viau (Viau / Pierre-de-Coubertin),27,25,55,45.563084167155345,-73.5481941328544,4.2,123.0,5.0,5.6,12.0,1.0
124,Parc Armand-Bombardier (Perras / Armand-Bombardier),6,8,15,45.6391233,-73.5961118,,,,,,
125,Collège de Rosemont (Beaubien / 15e avenue),23,0,26,45.55774990838239,-73.58380123972893,4.25,4.0,2.0,,0.0,2.0
126,McTavish / Sherbrooke,45,0,46,45.50277615861811,-73.57589408755302,4.071428571428571,31.0,7.0,,,
127,de Bleury / de Maisonneuve,10,11,21,45.507096455662456,-73.56844156980515,4.0,48.0,9.0,,,
128,de Maisonneuve / Aylmer (ouest),25,11,37,45.505173440423306,-73.5706517100334,4.0,32.0,9.0,,,
