row_from_station,fsq_id,category_id,name,latitude,longitude,rating,total_ratings,total_photos,total_tips
561,4cfe6b3b47699eb0ffc71515,11043,H&R Block,45.528757,-73.515334,,,,
561,a8bfaadae65644a7f26b9d1b,11044,Desjardins,45.524934,-73.521854,,,,
561,7edffb1bfead47206d2c0b0c,,Unyk.com,45.523377,-73.523017,,,,
561,57164569498e9bb9e88d5286,13026,Rôtisserie St-Hubert,45.528599,-73.514699,7.2,21,17,5
561,03bc51a08c384f29302df706,17043,Smart Set,45.52458,-73.522521,,,,
561,4bc20ad5461576b070b67c32,16037,Parc d'assigny,45.526676,-73.522828,,,,
561,63f420bb84744755e0df3478,17023,Honeywell Lte,45.524805,-73.522625,,,,
561,526c157711d2c0a45b270b9f,11035,Groupe Phaneuf,45.526212,-73.523298,,,,
561,c7329d4034fa4cbbf340aeb6,11020,Gestion Belsé,45.525153,-73.522248,,,,
561,55e62bdc0edb4cb7d240377f,11170,Mediagrif Interactive Technologies,45.523367,-73.523501,,,,
561,e08d02f21dcd4756d3dded93,11027,Exactsoft Technologies Inc,45.523367,-73.523501,,,,
561,5e4b9b5ef82540d83d104e05,17060,Euro-Delices Phimilou Inc,45.525151,-73.522345,,,,
561,bba5a875e5a84958a51d6bb9,17102,Univers Mobile,45.525151,-73.522345,,,,
561,6c59612979734a224b2f9b9f,17069,Marché Marie Lyne,45.525151,-73.522345,,,,
561,1cdcc23466c24d0f0a03d5c1,12091,Centres Jeunesse de Monteregie,45.522686,-73.52348,,,,
561,a377cb6f909c4206687f7048,17057,Quesuditas,45.524156,-73.523816,,,,
561,5cf2b3f0b70648813e1863c1,11028,Asphalte Rive Sud,45.525906,-73.521545,,,,
561,44613568ff9e4230300ea1e9,,Guérette Avocat Inc,45.525367,-73.522933,,,,
561,8067f437f4994dc30d4cd0e9,11042,Corporation Financiere Probeus,45.525367,-73.522933,,,,
561,8d111e54ce6d4384eb10c741,11027,Technologies Carrus Inc,45.526164,-73.520002,,,,
561,e555bd746f454d5baa366b6b,,Impark,45.525132,-73.523313,,,,
561,4e95826155037479eb150a7d,13044,Tutti Frutti,45.527613,-73.512828,7.3,12,2,5
562,5760841d498e5090cb3212f5,15024,Opto-Réseau - Vision Line Barnabé,45.565075,-73.577309,,,,
562,4e46cdc1d22d12b08bc6b4c1,11051,Caisses Desjardins,45.565307,-73.577122,,,,
562,5d9c7c9a102301000836b21c,17076,SAQ,45.565191,-73.577215,,,,
