row_from_station,id,name,rating,review_count,latitude,longitude
408,xcHUhWgOZBjC3NC-_igYhQ,Parc Champion du Parc Arthur-Therrien,2.0,1,45.4687120776599,-73.5591041296721
409,J3AMUmtEqXCqF2-lUOak0w,Parc Willibrord,5.0,1,45.45911,-73.57387
409,ZdULjUzJdp8cPF3cZg9OdQ,Parc Saint-Paul,5.0,1,45.4612799091698,-73.5848302988189
409,n3XqT5LikeUreX9WFDZZdw,Parc Arthur-Therrien,3.5,2,45.46624,-73.56235
409,uYcKN4P7C644e5Ficdh4xA,Parc Desmarchais,4.5,3,45.4539186609283,-73.5653794929385
409,wf8OdvpNdi6-Wf4eLxObcA,Parc Archie-Wilcox,3.0,1,45.4529499033607,-73.5669046640396
409,4EXH89p0m_HepYwJZk1-LQ,Parc Monseigneur J-A Richard,5.0,1,45.4571688985545,-73.5627650097013
410,Qhn1mID7QRo-7zfksm3IbQ,Parc Sainte-Cunégonde,5.0,1,45.482397,-73.576478
410,H0seMhx8iw6OQ5MQu5nieA,Parc Saint-Henri,4.0,1,45.4801535648346,-73.5866179772601
410,6E8O9MaApSr6rSQ8QpxiVg,Parc Sir-George-Étienne-Cartier,4.0,1,45.4733929483447,-73.5864087212262
410,_wAroYyk-MvUXBSxt2ic-Q,Parc Atwater,4.0,1,45.483844,-73.579631
410,wkli_g-HrcQIudeeOqgoWA,Square Sir George Etienne Cartier,5.0,1,45.4740046,-73.5875379
411,mqxddLiYeUp7IM9wHhUF-w,Place Émilie-Gamelin,4.0,18,45.515356079472426,-73.56000363497009
411,_zggEtQsC5PCqdpck_0-hA,Parc de l'Espoir,3.0,2,45.5198097243763,-73.5547703550871
411,663j73y1oN_Ypl5qG5SRzg,Parc Des Faubourgs,3.0,1,45.527203177033,-73.5571799545549
411,pZLKYd4glk9ow2_sUfVLtg,Centre de plein air de l'UQAM,4.5,3,45.5118993,-73.5596455
411,sVRAov4IFK9vH_EF6qpnEw,Belvédère du Chemin-Qui-Marche,5.0,1,45.513191,-73.548732
414,RsEmBcPXPJOP9SlAMnVrYw,Parc Morgan,5.0,2,45.5511733295307,-73.5324260420405
414,JZK-VeRbqWBOxnwFzcBCQA,Place Simon-Valois,4.0,2,45.5474079240433,-73.5437272830505
414,UzEetXSLYR9jACmfxJVeQA,Le Centre Sportif du Parc Olympique,5.0,6,45.559724,-73.551317
414,CAvcnYjwBmi_lHZ3SJ7wfw,Parc Olympique de Montréal,3.5,51,45.555932,-73.551005
